                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59627,                 2.5224,                 1.2289,                0.00333,                      1,                  0.995,                 0.8955,                0.19235,                  3.058,                  1.088,                      0,                      0,                      0
                      2,                0.81941,                 2.4406,                 1.2621,                0.00333,                      1,                  0.995,                 0.8955,                0.16217,                  3.042,                0.99119,              1.967e-05,              1.967e-05,              1.967e-05
                      3,                0.73563,                 2.3596,                 1.1585,                0.00333,                      1,                  0.995,                 0.8955,                0.14265,                 3.0509,                0.94606,              3.868e-05,              3.868e-05,              3.868e-05
                      4,                0.68551,                 2.4901,                  1.137,                0.00333,                      1,                  0.995,                 0.8955,                 0.1573,                 3.0335,                0.94718,              5.703e-05,              5.703e-05,              5.703e-05
                      5,                0.55754,                  2.289,                  1.116,                0.00333,                      1,                  0.995,                 0.8955,                0.16874,                 3.0556,                0.94629,              7.472e-05,              7.472e-05,              7.472e-05
                      6,                  0.532,                 2.2134,                  1.053,                0.00333,                      1,                  0.995,                 0.8955,                0.17688,                 3.0624,                0.94782,              9.175e-05,              9.175e-05,              9.175e-05
                      7,                0.46417,                 1.9936,                  1.061,                0.00333,                      1,                  0.995,                  0.995,                0.21222,                  3.054,                0.96821,             0.00010812,             0.00010812,             0.00010812
                      8,                 0.4112,                  1.862,                 1.0584,                0.00333,                      1,                  0.995,                  0.995,                0.22206,                 3.0059,                0.97586,             0.00012383,             0.00012383,             0.00012383
                      9,                0.55551,                 1.7144,                 1.1653,                0.00333,                      1,                  0.995,                  0.995,                0.24308,                 2.9956,                0.98736,             0.00013888,             0.00013888,             0.00013888
                     10,                0.48306,                 1.7452,                 1.1302,                0.00333,                      1,                  0.995,                 0.8955,                0.29361,                 2.9274,                 1.0008,             0.00015327,             0.00015327,             0.00015327
                     11,                0.52693,                 1.5906,                 1.0533,                0.00333,                      1,                  0.995,                  0.796,                0.33658,                 2.8939,                 1.0183,               0.000167,               0.000167,               0.000167
                     12,                0.36944,                  1.256,                0.98047,                0.00333,                      1,                  0.995,                  0.796,                 0.3674,                 2.8352,                 1.0676,             0.00018007,             0.00018007,             0.00018007
                     13,                0.54717,                 1.2086,                 1.0808,                0.00333,                      1,                  0.995,                  0.796,                0.36813,                  2.985,                 1.2701,             0.00019248,             0.00019248,             0.00019248
